"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: SPOL, OBÈINE, MERITVE , LETO"

" ";" ";"3 Registrirane brezposelne osebe";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Spol - SKUPAJ"
" ";"Ajdovšèina";560;577;509;423;624;807;1021;1120;1224;1067;952;827
" ";"Ankaran/Ancarano";-;-;-;-;-;-;-;-;-;-;126;136
" ";"Apaèe";-;-;212;185;236;252;253;224;217;237;242;232
" ";"Beltinci";589;514;467;418;561;751;682;602;634;682;699;597
" ";"Benedikt";78;71;56;48;78;93;92;89;108;101;99;106
" ";"Bistrica ob Sotli";81;76;82;75;89;84;77;76;75;78;78;61
" ";"Bled";314;268;147;128;194;238;265;276;322;321;283;245
" ";"Bloke";42;31;29;34;51;56;62;67;115;95;80;69
" ";"Bohinj";89;92;69;52;94;110;176;168;173;176;164;157
" ";"Borovnica";92;77;64;68;124;155;174;207;268;278;262;237
" ";"Bovec";112;125;100;87;134;150;127;94;132;153;130;109
" ";"Braslovèe";267;225;198;157;213;228;246;252;305;305;268;244
" ";"Brda";122;126;92;77;127;157;186;187;203;202;183;150
" ";"Brezovica";153;189;223;180;261;334;407;410;461;467;471;472
" ";"Brežice";1248;1133;990;879;1138;1336;1482;1523;1602;1657;1540;1453
" ";"Cankova";203;174;151;145;193;215;190;164;156;169;168;152
" ";"Celje";3326;2927;2315;1993;2428;2894;3265;3284;3577;3663;3571;3415
" ";"Cerklje na Gorenjskem";158;145;123;113;173;213;224;218;247;230;197;180
" ";"Cerknica";358;299;220;234;348;450;510;520;629;608;561;492
" ";"Cerkno";49;37;31;38;89;103;114;98;140;130;113;114
" ";"Cerkvenjak";82;70;49;49;76;84;72;70;79;74;81;70
" ";"Cirkulane";-;-;111;93;130;130;142;144;145;141;127;107
" ";"Èrenšovci";395;344;267;239;332;420;396;364;365;385;389;344
" ";"Èrna na Koroškem";163;155;134;119;161;160;152;136;138;126;114;107
" ";"Èrnomelj";836;810;630;599;889;887;1076;1301;1423;1509;1432;1236
" ";"Destrnik";138;126;107;93;144;157;141;134;126;119;113;103
" ";"Divaèa";114;98;81;62;110;126;142;160;179;181;170;166
" ";"Dobje";55;47;43;33;37;36;38;44;46;46;44;44
" ";"Dobrepolje";90;77;74;58;84;108;123;125;154;151;146;147
" ";"Dobrna";84;82;70;58;79;87;93;91;100;93;95;93
" ";"Dobrova - Polhov Gradec";99;99;125;96;129;189;209;212;261;262;240;230
" ";"Dobrovnik/Dobronak";142;127;121;97;120;135;136;132;138;128;135;123
" ";"Dol pri Ljubljani";114;124;117;94;119;153;186;196;233;260;237;205
" ";"Dolenjske Toplice";55;66;58;60;78;101;158;189;203;177;154;116
" ";"Domžale";1062;1043;827;687;978;1227;1432;1372;1581;1646;1545;1379
" ";"Dornava";132;108;99;83;124;130;139;128;134;124;105;96
" ";"Dravograd";423;402;289;273;435;522;529;493;562;520;461;427
" ";"Duplek";338;331;304;276;341;399;424;403;436;444;413;355
" ";"Gorenja vas - Poljane";79;72;66;75;162;163;166;175;197;202;172;147
" ";"Gorišnica";304;288;157;150;191;203;190;168;168;168;151;146
" ";"Gorje";-;-;36;35;63;78;86;85;113;106;96;87
" ";"Gornja Radgona";889;764;403;358;482;568;580;542;576;587;565;523
" ";"Gornji Grad";128;118;104;99;118;127;129;125;137;128;123;109
" ";"Gornji Petrovci";199;181;156;126;153;160;151;142;144;138;135;126
" ";"Grad";141;130;118;103;142;163;153;139;121;135;128;118
" ";"Grosuplje";588;546;469;441;604;756;907;975;1100;1074;974;911
" ";"Hajdina";144;136;146;120;165;197;185;165;167;159;149;144
" ";"Hoèe - Slivnica";464;487;476;422;539;620;694;626;679;705;644;585
" ";"Hodoš/Hodos";15;19;19;17;19;23;27;21;23;20;20;19
" ";"Horjul";47;46;44;36;51;69;74;76;90;95;82;73
" ";"Hrastnik";646;582;491;446;547;571;573;671;752;791;709;626
" ";"Hrpelje - Kozina";143;122;107;92;119;145;170;208;215;213;194;178
" ";"Idrija";136;105;81;123;248;304;350;318;389;410;378;320
" ";"Ig";94;111;130;117;157;212;256;242;282;304;280;237
" ";"Ilirska Bistrica";571;536;410;372;500;565;654;637;745;736;690;612
" ";"Ivanèna Gorica";443;372;320;297;418;534;602;640;730;674;635;596
" ";"Izola/Isola";704;624;549;460;571;691;856;851;881;879;847;735
" ";"Jesenice";1040;834;563;490;775;832;986;1089;1151;1132;972;773
" ";"Jezersko";21;18;12;10;13;17;15;17;18;19;18;17
" ";"Juršinci";123;110;83;81;127;136;130;115;121;112;99;81
" ";"Kamnik";827;804;605;492;822;1101;1147;1211;1390;1418;1391;1156
" ";"Kanal";161;143;100;85;184;232;269;272;302;296;287;220
" ";"Kidrièevo";295;273;246;207;302;325;303;309;300;313;276;252
" ";"Kobarid";181;170;131;108;158;166;147;142;163;169;161;134
" ";"Kobilje";66;57;41;33;45;56;51;44;43;44;39;37
" ";"Koèevje";1115;1136;976;891;1278;1386;1432;1536;1675;1694;1731;1623
" ";"Komen";76;69;77;64;110;131;141;163;172;174;158;165
" ";"Komenda";124;108;104;82;122;181;202;211;221;229;205;180
" ";"Koper/Capodistria";1552;1671;1497;1284;1703;1840;2248;2348;2696;2836;2458;2267
" ";"Kostanjevica na Krki";-;-;78;72;110;114;131;135;142;128;126;117
" ";"Kostel";16;21;33;28;43;41;41;38;33;46;45;38
" ";"Kozje";230;260;240;201;214;215;204;182;193;197;179;176
" ";"Kranj";2131;1910;1497;1404;2140;2542;2612;2570;2825;2736;2492;2327
" ";"Kranjska Gora";172;163;132;112;143;170;188;188;204;207;171;158
" ";"Križevci";150;140;132;121;171;210;204;183;203;203;201;168
" ";"Krško";1483;1376;1158;1023;1333;1545;1689;1783;1932;1869;1759;1697
" ";"Kungota";342;327;298;274;328;322;337;303;310;318;296;263
" ";"Kuzma";165;151;125;103;127;130;129;108;97;100;107;89
" ";"Laško";717;638;499;447;617;693;698;691;802;845;764;753
" ";"Lenart";463;362;188;185;264;307;333;331;359;365;325;296
" ";"Lendava/Lendva";1046;1012;913;860;1021;1149;1153;1118;1102;1081;1146;1017
" ";"Litija";822;732;537;466;647;750;853;876;909;903;808;714
" ";"Ljubljana";10651;10230;8420;7324;9306;11708;13938;14081;15896;16645;16022;15219
" ";"Ljubno";157;152;130;113;162;154;134;131;145;142;143;130
" ";"Ljutomer";696;666;588;546;774;850;838;753;795;766;750;684
" ";"Log - Dragomer";-;-;82;64;87;124;129;123;153;152;141;130
" ";"Logatec";200;174;147;187;404;523;526;516;680;678;632;553
" ";"Loška dolina";101;91;82;102;141;144;166;191;256;223;187;164
" ";"Loški Potok";61;55;48;51;70;66;75;74;93;97;87;87
" ";"Lovrenc na Pohorju";196;183;161;152;176;194;196;157;181;193;196;183
" ";"Luèe";93;90;74;61;85;82;83;85;88;88;89;72
" ";"Lukovica";135;139;119;85;118;149;175;160;181;203;195;187
" ";"Majšperk";223;203;166;145;190;205;187;193;203;196;178;158
" ";"Makole";-;-;93;90;118;124;119;124;132;116;105;86
" ";"Maribor";7742;7365;5889;5206;6487;7473;8293;7939;8287;8319;7970;7304
" ";"Markovci";182;156;125;112;172;187;193;175;182;176;164;159
" ";"Medvode";376;387;392;340;460;540;616;585;671;710;678;622
" ";"Mengeš";242;234;177;147;202;257;282;272;322;348;327;293
" ";"Metlika";374;410;328;311;484;508;601;624;643;665;636;569
" ";"Mežica";137;132;118;108;169;194;192;166;177;172;144;130
" ";"Miklavž na Dravskem polju";289;294;276;250;315;382;420;371;392;399;373;345
" ";"Miren - Kostanjevica";127;123;116;101;175;186;215;234;267;262;214;192
" ";"Mirna";-;-;-;-;-;-;-;130;129;123;100;98
" ";"Mirna Peè";64;75;75;59;81;90;113;107;131;126;101;90
" ";"Mislinja";162;162;147;120;176;203;231;204;215;214;210;184
" ";"Mokronog - Trebelno";-;-;53;53;78;103;124;126;133;126;113;97
" ";"Moravèe";117;106;94;74;124;149;149;153;175;194;165;151
" ";"Moravske Toplice";467;432;363;319;429;519;462;429;416;444;461;402
" ";"Mozirje";334;329;156;133;174;167;172;184;209;237;233;208
" ";"Murska Sobota";1669;1503;1291;1186;1493;1800;1681;1542;1567;1653;1666;1536
" ";"Muta";194;176;145;125;179;231;231;198;212;171;151;148
" ";"Naklo";132;138;111;93;120;168;179;175;177;169;164;151
" ";"Nazarje";144;137;111;94;144;147;149;143;142;169;162;147
" ";"Nova Gorica";1178;1062;703;611;1035;1231;1480;1559;1733;1672;1534;1320
" ";"Novo mesto";1424;1427;1001;913;1196;1393;1676;1860;2046;1990;1796;1634
" ";"Odranci";112;106;83;70;107;141;122;101;95;105;115;100
" ";"Oplotnica";163;161;136;127;179;166;177;184;208;212;194;178
