Unemployment by sex and age - annual average [une_rt_a];;;;;;;;;;
;;;;;;;;;;
Last update;14.02.19;;;;;;;;;
Extracted on;14.02.19;;;;;;;;;
Source of data;Eurostat;;;;;;;;;
;;;;;;;;;;
AGE;Total;;;;;;;;;
UNIT;Percentage of total population;;;;;;;;;
SEX;Total;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Belgium;4,2;4,7;5,0;4,2;4,5;5,1;5,1;5,1;4,7;4,2
Bulgaria;3,4;4,0;6,0;6,5;7,2;7,7;6,9;5,5;4,5;3,8
Czechia;2,8;4,2;4,6;4,2;4,4;4,5;3,9;3,3;2,6;1,9
Denmark;2,5;4,3;5,3;5,3;5,2;4,8;4,5;4,2;4,3;4,0
Germany (until 1990 former territory of the FRG);4,9;5,1;4,6;3,9;3,6;3,6;3,4;3,2;2,9;2,6
Estonia;3,7;9,0;11,1;8,3;6,8;5,9;5,0;4,3;4,8;4,1
Ireland;4,8;8,6;9,7;10,2;10,2;9,1;7,9;6,6;5,6;4,5
Greece;4,6;5,7;7,6;10,6;14,5;16,3;15,7;14,8;14,1;12,8
Spain;7,4;11,7;13,1;14,2;16,5;17,3;16,0;14,5;12,8;11,2
France;4,4;5,5;5,6;5,5;5,9;6,3;6,2;6,3;6,1;5,7
Croatia;5,0;5,4;6,7;7,8;9,1;9,8;10,1;9,5;7,5;6,5
Italy;3,7;4,2;4,6;4,6;5,9;6,7;7,1;6,7;6,6;6,4
Cyprus;2,5;3,6;4,3;5,3;8,0;10,7;11,0;10,0;8,6;7,4
Latvia;5,2;11,5;12,6;10,4;9,9;7,8;7,2;6,7;6,6;6,0
Lithuania;3,6;8,6;11,1;9,8;8,6;7,6;7,1;6,1;5,3;4,8
Luxembourg;3,0;3,1;2,7;3,0;3,2;3,7;3,7;4,3;4,0;3,5
Hungary;4,2;5,4;6,1;6,1;6,2;5,8;4,5;4,1;3,1;2,6
Malta;3,2;3,7;3,7;3,5;3,5;3,6;3,4;3,2;2,9;2,5
Netherlands;2,0;2,5;3,1;3,5;4,1;5,1;5,2;4,8;4,2;3,4
Austria;2,7;3,5;3,2;3,0;3,2;3,6;3,8;3,8;4,1;3,7
Poland;4,1;4,8;5,8;5,8;6,1;6,3;5,5;4,6;3,8;3,0
Portugal;5,7;7,0;8,0;8,6;10,5;10,8;9,2;8,3;7,3;5,9
Romania;3,4;4,0;4,2;4,2;4,1;4,2;4,1;4,1;3,5;3,0
Slovenia;2,8;3,8;4,7;5,2;5,6;6,4;6,2;5,7;5,0;4,3
Slovakia;6,0;7,6;9,1;8,6;8,8;9,0;8,4;7,3;6,2;5,2
Finland;4,3;5,5;5,6;5,2;5,1;5,4;5,7;6,2;5,8;5,7
Sweden;4,4;5,9;6,1;5,5;5,7;5,8;5,7;5,4;5,0;4,9
United Kingdom;3,9;5,2;5,3;5,5;5,4;5,2;4,2;3,7;3,3;3,0
Iceland;2,4;5,8;6,1;5,6;4,8;4,3;4,0;3,3;2,5;2,3
Norway;1,9;2,3;2,5;2,3;2,2;2,4;2,5;3,1;3,3;2,9
Turkey;4,7;6,1;5,3;4,5;4,2;4,6;5,2;5,5;5,9;6,0
United States;:;:;:;:;:;:;:;:;:;:
Japan;:;:;:;:;:;:;:;:;:;:
;;;;;;;;;;
Special value:;;;;;;;;;;
:;not available;;;;;;;;;
